week_start,store_id,location,region,channel,category,units_sold,unit_price,unit_cost,overhead_allocated
2024-01-29,S01,"Monterey, CA",Central Coast,In-Store,Video Games,40,53.83,32.52,480.0
2024-01-29,S01,"Monterey, CA",Central Coast,In-Store,Accessories,31,14.25,8.03,480.0
2024-01-29,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,16,26.46,12.61,480.0
2024-01-29,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,17,32.95,11.55,480.0
2024-01-29,S02,"Salinas, CA",Central Coast,In-Store,Consoles,6,423.92,359.72,420.0
2024-01-29,S02,"Salinas, CA",Central Coast,In-Store,Video Games,35,63.04,39.74,420.0
2024-01-29,S02,"Salinas, CA",Central Coast,In-Store,Accessories,36,40.8,23.45,420.0
2024-01-29,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,17,61.89,30.36,420.0
2024-01-29,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,21,29.76,10.47,420.0
2024-01-29,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,10,473.37,387.18,440.0
2024-01-29,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,31,46.42,29.18,440.0
2024-01-29,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,33,37.46,20.86,440.0
2024-01-29,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,13,24.42,11.47,440.0
2024-01-29,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,18,16.99,5.97,440.0
2024-01-29,S04,"San Jose, CA",Bay Area,In-Store,Consoles,7,422.13,352.86,620.0
2024-01-29,S04,"San Jose, CA",Bay Area,In-Store,Video Games,40,40.93,25.14,620.0
2024-01-29,S04,"San Jose, CA",Bay Area,In-Store,Accessories,29,32.71,17.46,620.0
2024-01-29,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,14,82.34,39.86,620.0
2024-01-29,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,23,30.42,10.93,620.0
2024-01-29,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,8,399.59,322.81,520.0
2024-01-29,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,41,64.6,41.87,520.0
2024-01-29,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,27,47.64,26.32,520.0
2024-01-29,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,15,34.44,16.07,520.0
2024-01-29,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,9.73,3.35,520.0
2024-01-29,S06,"Fresno, CA",Central Valley,In-Store,Consoles,9,439.43,348.26,460.0
2024-01-29,S06,"Fresno, CA",Central Valley,In-Store,Video Games,35,42.83,26.88,460.0
2024-01-29,S06,"Fresno, CA",Central Valley,In-Store,Accessories,21,31.73,17.56,460.0
2024-01-29,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,11,63.99,29.6,460.0
2024-01-29,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,10.26,3.55,460.0
2024-01-29,S00,QuickCart Online,National,Online,Consoles,18,431.68,363.22,180.0
2024-01-29,S00,QuickCart Online,National,Online,Video Games,87,61.56,39.43,180.0
2024-01-29,S00,QuickCart Online,National,Online,Accessories,65,17.69,9.26,180.0
2024-01-29,S00,QuickCart Online,National,Online,Collectibles,38,88.99,42.07,180.0
2024-01-29,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,58,28.53,10.14,180.0
2024-02-05,S01,"Monterey, CA",Central Coast,In-Store,Consoles,9,493.96,392.87,480.0
2024-02-05,S01,"Monterey, CA",Central Coast,In-Store,Video Games,27,43.57,26.0,480.0
2024-02-05,S01,"Monterey, CA",Central Coast,In-Store,Accessories,31,39.38,21.05,480.0
2024-02-05,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,16,72.68,33.73,480.0
2024-02-05,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,22,27.7,9.32,480.0
2024-02-05,S02,"Salinas, CA",Central Coast,In-Store,Consoles,10,495.47,390.36,420.0
2024-02-05,S02,"Salinas, CA",Central Coast,In-Store,Video Games,27,48.36,30.51,420.0
2024-02-05,S02,"Salinas, CA",Central Coast,In-Store,Accessories,36,31.85,17.89,420.0
2024-02-05,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,11,67.34,32.73,420.0
2024-02-05,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,16,28.31,10.26,420.0
2024-02-05,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,9,411.11,353.42,440.0
2024-02-05,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,41,49.42,30.42,440.0
2024-02-05,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,27,36.77,19.9,440.0
2024-02-05,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,17,76.56,35.3,440.0
2024-02-05,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,26,24.89,9.0,440.0
2024-02-05,S04,"San Jose, CA",Bay Area,In-Store,Consoles,9,442.55,371.38,620.0
2024-02-05,S04,"San Jose, CA",Bay Area,In-Store,Video Games,45,47.1,30.1,620.0
2024-02-05,S04,"San Jose, CA",Bay Area,In-Store,Accessories,29,35.76,19.54,620.0
2024-02-05,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,16,37.79,18.78,620.0
2024-02-05,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,24,11.17,4.06,620.0
2024-02-05,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,7,445.47,369.32,520.0
2024-02-05,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,34,39.86,25.58,520.0
2024-02-05,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,24,23.55,13.34,520.0
2024-02-05,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,13,80.62,39.48,520.0
2024-02-05,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,18,9.25,3.38,520.0
2024-02-05,S06,"Fresno, CA",Central Valley,In-Store,Consoles,6,471.01,385.79,460.0
2024-02-05,S06,"Fresno, CA",Central Valley,In-Store,Video Games,41,59.72,37.57,460.0
2024-02-05,S06,"Fresno, CA",Central Valley,In-Store,Accessories,29,49.68,26.21,460.0
2024-02-05,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,12,67.43,31.74,460.0
2024-02-05,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,21,20.83,7.31,460.0
2024-02-05,S00,QuickCart Online,National,Online,Consoles,20,473.59,381.77,180.0
2024-02-05,S00,QuickCart Online,National,Online,Video Games,103,47.13,28.49,180.0
2024-02-05,S00,QuickCart Online,National,Online,Accessories,59,22.67,11.99,180.0
2024-02-05,S00,QuickCart Online,National,Online,Collectibles,38,72.35,33.63,180.0
2024-02-05,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,45,21.1,7.55,180.0
2024-02-12,S01,"Monterey, CA",Central Coast,In-Store,Consoles,10,451.46,362.16,480.0
2024-02-12,S01,"Monterey, CA",Central Coast,In-Store,Video Games,28,44.82,27.03,480.0
2024-02-12,S01,"Monterey, CA",Central Coast,In-Store,Accessories,24,14.64,8.08,480.0
2024-02-12,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,13,87.2,42.08,480.0
2024-02-12,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,23,12.16,4.41,480.0
2024-02-12,S02,"Salinas, CA",Central Coast,In-Store,Consoles,8,486.27,401.69,420.0
2024-02-12,S02,"Salinas, CA",Central Coast,In-Store,Video Games,35,52.21,31.35,420.0
2024-02-12,S02,"Salinas, CA",Central Coast,In-Store,Accessories,22,56.35,30.92,420.0
2024-02-12,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,17,47.05,21.62,420.0
2024-02-12,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,22,10.34,3.49,420.0
2024-02-12,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,8,429.38,369.48,440.0
2024-02-12,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,29,61.93,38.8,440.0
2024-02-12,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,33,24.16,13.32,440.0
2024-02-12,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,14,49.99,24.86,440.0
2024-02-12,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,26,16.63,5.89,440.0
2024-02-12,S04,"San Jose, CA",Bay Area,In-Store,Consoles,9,473.01,405.23,620.0
2024-02-12,S04,"San Jose, CA",Bay Area,In-Store,Video Games,30,45.33,28.56,620.0
2024-02-12,S04,"San Jose, CA",Bay Area,In-Store,Accessories,23,21.82,11.49,620.0
2024-02-12,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,11,50.54,24.49,620.0
2024-02-12,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,18,14.79,5.28,620.0
2024-02-12,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,9,444.4,371.24,520.0
2024-02-12,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,44,62.63,39.32,520.0
2024-02-12,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,31,56.02,30.58,520.0
2024-02-12,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,15,64.33,32.14,520.0
2024-02-12,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,24,10.79,3.65,520.0
2024-02-12,S06,"Fresno, CA",Central Valley,In-Store,Consoles,7,473.9,391.29,460.0
2024-02-12,S06,"Fresno, CA",Central Valley,In-Store,Video Games,32,42.73,26.99,460.0
2024-02-12,S06,"Fresno, CA",Central Valley,In-Store,Accessories,32,56.42,31.03,460.0
2024-02-12,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,14,24.63,11.28,460.0
2024-02-12,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,17.06,5.82,460.0
2024-02-12,S00,QuickCart Online,National,Online,Consoles,17,495.19,419.7,180.0
2024-02-12,S00,QuickCart Online,National,Online,Video Games,97,67.52,43.95,180.0
2024-02-12,S00,QuickCart Online,National,Online,Accessories,82,26.13,13.71,180.0
2024-02-12,S00,QuickCart Online,National,Online,Collectibles,42,51.94,25.31,180.0
2024-02-12,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,65,13.54,4.78,180.0
2024-02-19,S01,"Monterey, CA",Central Coast,In-Store,Consoles,9,448.17,352.48,480.0
2024-02-19,S01,"Monterey, CA",Central Coast,In-Store,Video Games,33,49.0,30.9,480.0
2024-02-19,S01,"Monterey, CA",Central Coast,In-Store,Accessories,34,28.84,16.17,480.0
2024-02-19,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,13,85.16,42.16,480.0
2024-02-19,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,21,20.37,7.0,480.0
2024-02-19,S02,"Salinas, CA",Central Coast,In-Store,Consoles,7,496.02,402.84,420.0
2024-02-19,S02,"Salinas, CA",Central Coast,In-Store,Video Games,36,68.64,43.23,420.0
2024-02-19,S02,"Salinas, CA",Central Coast,In-Store,Accessories,29,32.6,17.37,420.0
2024-02-19,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,13,71.95,34.97,420.0
2024-02-19,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,23,14.09,4.96,420.0
2024-02-19,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,10,442.81,370.3,440.0
2024-02-19,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,29,68.19,42.74,440.0
2024-02-19,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,25,21.13,11.68,440.0
2024-02-19,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,15,25.52,12.85,440.0
2024-02-19,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,25,20.54,6.91,440.0
2024-02-19,S04,"San Jose, CA",Bay Area,In-Store,Consoles,10,448.84,376.02,620.0
2024-02-19,S04,"San Jose, CA",Bay Area,In-Store,Video Games,36,47.2,30.24,620.0
2024-02-19,S04,"San Jose, CA",Bay Area,In-Store,Accessories,36,24.97,13.8,620.0
2024-02-19,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,13,83.53,40.13,620.0
2024-02-19,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,25,30.6,10.47,620.0
2024-02-19,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,9,440.49,376.89,520.0
2024-02-19,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,36,63.62,38.59,520.0
2024-02-19,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,26,40.41,23.33,520.0
2024-02-19,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,14,29.4,14.17,520.0
2024-02-19,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,19,22.8,8.01,520.0
2024-02-19,S06,"Fresno, CA",Central Valley,In-Store,Consoles,8,431.18,342.56,460.0
2024-02-19,S06,"Fresno, CA",Central Valley,In-Store,Video Games,40,56.15,33.89,460.0
2024-02-19,S06,"Fresno, CA",Central Valley,In-Store,Accessories,33,15.96,8.99,460.0
2024-02-19,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,16,75.8,35.97,460.0
2024-02-19,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,22,29.52,10.83,460.0
